Hour,Origin,Destination,Demand
21,3420 - Auto Mall NB,3460 - Hesperian/238 NB,2332.0251297035566
21,3430 - Mowry NB,3430 - Mowry NB,2.8673489155545036
21,3430 - Mowry NB,3440 - Decoto/84 NB,12.184309969837948
21,3430 - Mowry NB,3450 - Whipple NB,1.0
21,3430 - Mowry NB,3460 - Hesperian/238 NB,98.68601234748427
21,3440 - Decoto/84 NB,3440 - Decoto/84 NB,9.769614327622435
21,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
21,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,79.09545416552825
21,3450 - Whipple NB,3450 - Whipple NB,1.0
21,3450 - Whipple NB,3460 - Hesperian/238 NB,239.23744292237444
21,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,204.40649416539827
22,3420 - Auto Mall NB,3420 - Auto Mall NB,115.2729941291585
22,3420 - Auto Mall NB,3430 - Mowry NB,49.829268055128885
22,3420 - Auto Mall NB,3440 - Decoto/84 NB,235.40529535048583
22,3420 - Auto Mall NB,3450 - Whipple NB,1.0
22,3420 - Auto Mall NB,3460 - Hesperian/238 NB,1811.027252641352
22,3430 - Mowry NB,3430 - Mowry NB,2.0022387941861766
22,3430 - Mowry NB,3440 - Decoto/84 NB,9.468171944594333
22,3430 - Mowry NB,3450 - Whipple NB,1.0
22,3430 - Mowry NB,3460 - Hesperian/238 NB,72.75767145300033
22,3440 - Decoto/84 NB,3440 - Decoto/84 NB,7.787719919531703
22,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
22,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,59.83214309416693
22,3450 - Whipple NB,3450 - Whipple NB,1.0
22,3450 - Whipple NB,3460 - Hesperian/238 NB,170.05844748858448
22,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,164.17209538305428
23,3420 - Auto Mall NB,3420 - Auto Mall NB,74.39510763151732
23,3420 - Auto Mall NB,3430 - Mowry NB,32.51368712502436
23,3420 - Auto Mall NB,3440 - Decoto/84 NB,184.0831257997255
23,3420 - Auto Mall NB,3450 - Whipple NB,1.0
23,3420 - Auto Mall NB,3460 - Hesperian/238 NB,1321.5812927511531
23,3430 - Mowry NB,3430 - Mowry NB,1.2698745183653914
23,3430 - Mowry NB,3440 - Decoto/84 NB,7.189663452303546
23,3430 - Mowry NB,3450 - Whipple NB,1.0
23,3430 - Mowry NB,3460 - Hesperian/238 NB,51.61648942690608
23,3440 - Decoto/84 NB,3440 - Decoto/84 NB,4.96008745945409
23,3440 - Decoto/84 NB,3450 - Whipple NB,1.0
23,3440 - Decoto/84 NB,3460 - Hesperian/238 NB,35.609775554586975
23,3450 - Whipple NB,3450 - Whipple NB,1.0
23,3450 - Whipple NB,3460 - Hesperian/238 NB,108.41187214638893
23,3460 - Hesperian/238 NB,3460 - Hesperian/238 NB,113.08848300383676
