Date,Hour,Avg_total_toll
2021-02-09,7,0.8541666666666666
2021-02-09,8,0.7708333333333334
2021-02-09,9,0.75
2021-02-09,10,0.75
2021-02-09,11,0.75
2021-02-09,12,0.8958333333333334
2021-02-09,13,1.2916666666666667
2021-02-09,14,3.073529411764706
2021-02-09,15,4.229166666666667
2021-02-09,16,4.041666666666667
2021-02-09,17,4.229166666666667
2021-02-09,18,2.875
2021-02-09,19,0.8636363636363636
2021-02-09,20,
2021-02-09,21,
2021-02-09,22,
2021-02-09,23,
2021-02-10,0,
2021-02-10,1,
2021-02-10,2,
2021-02-10,3,
2021-02-10,4,
2021-02-10,5,0.75
2021-02-10,6,0.8333333333333334
2021-02-10,7,0.875
2021-02-10,8,0.7916666666666666
2021-02-10,9,0.75
2021-02-10,10,0.75
2021-02-10,11,0.7916666666666666
2021-02-10,12,1.1666666666666667
2021-02-10,13,2.2083333333333335
2021-02-10,14,3.4791666666666665
2021-02-10,15,3.5
2021-02-10,16,3.027027027027027
2021-02-10,17,4.333333333333333
2021-02-10,18,3.25
2021-02-10,19,1.7727272727272727
2021-02-10,20,
2021-02-10,21,
2021-02-10,22,
2021-02-10,23,
2021-02-11,0,
2021-02-11,1,
2021-02-11,2,
2021-02-11,3,
2021-02-11,4,
2021-02-11,5,0.75
2021-02-11,6,0.8125
2021-02-11,7,0.875
2021-02-11,8,0.8125
2021-02-11,9,0.75
2021-02-11,10,0.75
2021-02-11,11,0.7916666666666666
2021-02-11,12,0.9210526315789473
2021-02-11,13,1.8125
2021-02-11,14,3.9375
2021-02-11,15,3.1666666666666665
2021-02-11,16,5.0
2021-02-11,17,4.916666666666667
2021-02-11,18,3.5833333333333335
2021-02-11,19,1.1363636363636365
2021-02-11,20,
2021-02-11,21,
2021-02-11,22,
2021-02-11,23,
2021-02-12,0,
2021-02-12,1,
2021-02-12,2,
2021-02-12,3,
2021-02-12,4,
2021-02-12,5,0.75
2021-02-12,6,0.75
2021-02-12,7,0.8333333333333334
2021-02-12,8,0.7708333333333334
2021-02-12,9,0.75
2021-02-12,10,0.8541666666666666
2021-02-12,11,1.4791666666666667
2021-02-12,12,2.0642857142857145
2021-02-12,13,3.6041666666666665
2021-02-12,14,4.435714285714286
2021-02-12,15,5.0
2021-02-12,16,4.833333333333333
2021-02-12,17,4.645833333333333
2021-02-12,18,4.166666666666667
2021-02-12,19,1.5681818181818181
2021-02-12,20,
2021-02-12,21,
2021-02-12,22,
2021-02-12,23,
2021-02-13,0,
2021-02-13,1,
2021-02-13,2,
2021-02-13,3,
2021-02-13,4,
2021-02-13,5,
2021-02-13,6,
2021-02-13,7,
2021-02-13,8,
2021-02-13,9,
2021-02-13,10,
2021-02-13,11,
2021-02-13,12,
2021-02-13,13,
2021-02-13,14,
2021-02-13,15,
2021-02-13,16,
2021-02-13,17,
2021-02-13,18,
2021-02-13,19,
2021-02-13,20,
2021-02-13,21,
2021-02-13,22,
2021-02-13,23,
2021-02-14,0,
2021-02-14,1,
2021-02-14,2,
2021-02-14,3,
2021-02-14,4,
2021-02-14,5,
2021-02-14,6,
2021-02-14,7,
2021-02-14,8,
2021-02-14,9,
2021-02-14,10,
2021-02-14,11,
2021-02-14,12,
2021-02-14,13,
2021-02-14,14,
2021-02-14,15,
2021-02-14,16,
2021-02-14,17,
2021-02-14,18,
2021-02-14,19,
2021-02-14,20,
2021-02-14,21,
2021-02-14,22,
2021-02-14,23,
2021-02-15,0,
2021-02-15,1,
2021-02-15,2,
2021-02-15,3,
2021-02-15,4,
2021-02-15,5,0.75
2021-02-15,6,0.75
2021-02-15,7,0.75
2021-02-15,8,0.75
2021-02-15,9,0.75
2021-02-15,10,0.75
2021-02-15,11,0.75
2021-02-15,12,1.0
2021-02-15,13,1.3958333333333333
2021-02-15,14,1.3541666666666667
2021-02-15,15,1.5416666666666667
2021-02-15,16,1.0625
2021-02-15,17,1.2083333333333333
2021-02-15,18,0.9791666666666666
2021-02-15,19,0.75
2021-02-15,20,
2021-02-15,21,
2021-02-15,22,
2021-02-15,23,
2021-02-16,0,
2021-02-16,1,
2021-02-16,2,
2021-02-16,3,
2021-02-16,4,
2021-02-16,5,0.75
2021-02-16,6,0.8125
2021-02-16,7,0.8333333333333334
2021-02-16,8,0.7916666666666666
2021-02-16,9,0.75
2021-02-16,10,0.75
2021-02-16,11,0.7708333333333334
2021-02-16,12,1.0227272727272727
2021-02-16,13,1.8125
2021-02-16,14,3.4583333333333335
2021-02-16,15,3.3541666666666665
2021-02-16,16,4.041666666666667
2021-02-16,17,3.2916666666666665
2021-02-16,18,2.2291666666666665
